"Type","MD","FY","FH","Gallons","Cost"
"Bomber","B-1",1996,26914,88594449,72753781
"Bomber","B-1",1997,25219,85484074,71297263
"Bomber","B-1",1998,24205,85259038,84026805
"Bomber","B-1",1999,23306,79323816,71848336
"Bomber","B-1",2000,25013,86230284,58439777
"Bomber","B-1",2001,25059,86892432,94946077
"Bomber","B-1",2002,26581,89198262,96458536
"Bomber","B-1",2003,21491,74485788,68650070
"Bomber","B-1",2004,28118,101397707,101895634
"Bomber","B-1",2005,21859,78410415,124816690
"Bomber","B-1",2006,20163,69984142,174627869
"Bomber","B-1",2007,24629,85112485,204486404
"Bomber","B-1",2008,23024,78084791,266109848
"Bomber","B-1",2009,23065,81030579,185902082
"Bomber","B-1",2010,23398,81253214,237413270
"Bomber","B-1",2011,24166,82471246,299215343
"Bomber","B-1",2012,29292,101238385,374028795
"Bomber","B-1",2013,25253,85970844,346054359
"Bomber","B-1",2014,22204,73145048,289357667
"Bomber","B-2",1996,2364,3098498,5863355
"Bomber","B-2",1997,2776,4323992,6866121
"Bomber","B-2",1998,2166,4352750,7891851
"Bomber","B-2",1999,3672,7325932,9801821
"Bomber","B-2",2000,4543,10192466,9618219
"Bomber","B-2",2001,4754,9693145,13949654
"Bomber","B-2",2002,5969,11753559,15938278
"Bomber","B-2",2003,6801,13877997,15401463
"Bomber","B-2",2004,5677,11237771,14158041
"Bomber","B-2",2005,5228,10770041,21637940
"Bomber","B-2",2006,6100,12843899,36500436
"Bomber","B-2",2007,6266,12683783,35775133
"Bomber","B-2",2008,4074,8472438,36623261
"Bomber","B-2",2009,4567,9299978,27095024
"Bomber","B-2",2010,4638,9269549,33674977
"Bomber","B-2",2011,4873,9553217,43326111
"Bomber","B-2",2012,4955,9370581,43322482
"Bomber","B-2",2013,4076,7925422,41433404
"Bomber","B-2",2014,5070,9638853,46326775
"Bomber","B-52",1996,28511,99014843,71051283
"Bomber","B-52",1997,26034,88483438,63767578
"Bomber","B-52",1998,25639,85983307,72563957
"Bomber","B-52",1999,24500,82023136,63267336
"Bomber","B-52",2000,24387,80046278,46983727
"Bomber","B-52",2001,24813,81077269,74897262
"Bomber","B-52",2002,36687,117879809,112111826
"Bomber","B-52",2003,30230,108126138,86410724
"Bomber","B-52",2004,25493,86288229,72806150
"Bomber","B-52",2005,27838,99083069,139059663
"Bomber","B-52",2006,28206,100297373,201736741
"Bomber","B-52",2007,22484,80940424,161218235
"Bomber","B-52",2008,20284,71592012,196858812
"Bomber","B-52",2009,18765,66665854,123246431
"Bomber","B-52",2010,18250,65486545,152292780
"Bomber","B-52",2011,21727,74623498,221528055
"Bomber","B-52",2012,21748,73356234,222391448
"Bomber","B-52",2013,19309,64933573,209017819
"Bomber","B-52",2014,21297,70891306,224248841
"Fighter/Attack","A-10",1996,111318,87918003,63803695
"Fighter/Attack","A-10",1997,112553,86010845,63065899
"Fighter/Attack","A-10",1998,112047,85411108,73325089
"Fighter/Attack","A-10",1999,110486,84459693,66642620
"Fighter/Attack","A-10",2000,99145,81717551,49514389
"Fighter/Attack","A-10",2001,100664,81258607,76683502
"Fighter/Attack","A-10",2002,101671,78530875,73264554
"Fighter/Attack","A-10",2003,110421,81034663,64303726
"Fighter/Attack","A-10",2004,106209,82448487,71137428
"Fighter/Attack","A-10",2005,100438,78465192,106596891
"Fighter/Attack","A-10",2006,99903,78119870,157197496
"Fighter/Attack","A-10",2007,96199,74537641,148911522
"Fighter/Attack","A-10",2008,83604,67236115,186617555
"Fighter/Attack","A-10",2009,80946,63482870,115437039
"Fighter/Attack","A-10",2010,85717,64394753,161932965
"Fighter/Attack","A-10",2011,91880,64509681,194838257
"Fighter/Attack","A-10",2012,89246,65433368,198748914
"Fighter/Attack","A-10",2013,82183,62887716,204285556
"Fighter/Attack","A-10",2014,71521,57785806,179662486
"Fighter/Attack","F-15",1996,176592,336754683,263045619
"Fighter/Attack","F-15",1997,168826,331702685,263003414
"Fighter/Attack","F-15",1998,165347,324187965,300546839
"Fighter/Attack","F-15",1999,166068,329010424,279429582
"Fighter/Attack","F-15",2000,156513,318117103,206354766
"Fighter/Attack","F-15",2001,160742,326933565,333593443
"Fighter/Attack","F-15",2002,170896,329215305,332741029
"Fighter/Attack","F-15",2003,170986,343251052,293898554
"Fighter/Attack","F-15",2004,167431,344941046,319298305
"Fighter/Attack","F-15",2005,145709,313334406,458990010
"Fighter/Attack","F-15",2006,145200,316595219,697851294
"Fighter/Attack","F-15",2007,136354,295951083,652948793
"Fighter/Attack","F-15",2008,106235,246035631,776783488
"Fighter/Attack","F-15",2009,121681,269422212,569112268
"Fighter/Attack","F-15",2010,102037,234615348,627143388
"Fighter/Attack","F-15",2011,83535,196432916,647516633
"Fighter/Attack","F-15",2012,72730,183919113,626374268
"Fighter/Attack","F-15",2013,56389,157185563,570929767
"Fighter/Attack","F-15",2014,69113,174614255,616903455
"Fighter/Attack","F-16",1996,349760,298343661,254136077
"Fighter/Attack","F-16",1997,342934,293149971,253742833
"Fighter/Attack","F-16",1998,337443,295240571,299998271
"Fighter/Attack","F-16",1999,329021,284292605,265723898
"Fighter/Attack","F-16",2000,320188,285833835,203415406
"Fighter/Attack","F-16",2001,315138,278346320,315456787
"Fighter/Attack","F-16",2002,342103,288957235,321386890
"Fighter/Attack","F-16",2003,325780,285316362,269568216
"Fighter/Attack","F-16",2004,317900,280208988,286146881
"Fighter/Attack","F-16",2005,299076,263716604,433631797
"Fighter/Attack","F-16",2006,303206,268970596,663812016
"Fighter/Attack","F-16",2007,279785,248823485,615153138
"Fighter/Attack","F-16",2008,263108,229183594,803944262
"Fighter/Attack","F-16",2009,236293,206604482,503804201
"Fighter/Attack","F-16",2010,223286,192831989,594816604
"Fighter/Attack","F-16",2011,209773,177783234,690420488
"Fighter/Attack","F-16",2012,184647,154819946,631693205
"Fighter/Attack","F-16",2013,166828,145990647,669633287
"Fighter/Attack","F-16",2014,172708,148027256,636086744
"Fighter/Attack","F-22",1999,7326,-6944062,4946634
"Fighter/Attack","F-22",2000,7326,-6701756,4998672
"Fighter/Attack","F-22",2001,7326,-6359780,5623193
"Fighter/Attack","F-22",2002,7326,-5510074,6459342
"Fighter/Attack","F-22",2003,7445,-3417544,7910748
"Fighter/Attack","F-22",2004,9117,-416997,10923698
"Fighter/Attack","F-22",2005,10758,759181,17023664
"Fighter/Attack","F-22",2006,16198,11804567,47824596
"Fighter/Attack","F-22",2007,21154,21100510,67758734
"Fighter/Attack","F-22",2008,25505,27843262,115705236
"Fighter/Attack","F-22",2009,28479,34624114,91434274
"Fighter/Attack","F-22",2010,32172,40600737,133517182
"Fighter/Attack","F-22",2011,22718,23313704,99318279
"Fighter/Attack","F-22",2012,33761,45586527,188673361
"Fighter/Attack","F-22",2013,33428,45086372,200438552
"Fighter/Attack","F-22",2014,37387,48791099,207870028
"Fighter/Attack","F-35",2011,-510,1804588,656775
"Fighter/Attack","F-35",2012,-292,2124225,1603946
"Fighter/Attack","F-35",2013,995,3967695,8724871
"Fighter/Attack","F-35",2014,3295,6685258,18283508
"Helicopter","HH-60",1996,24259,3599607,2698724
"Helicopter","HH-60",1997,22769,3121532,2360524
"Helicopter","HH-60",1998,23837,3178472,2861413
"Helicopter","HH-60",1999,24490,3302465,2756626
"Helicopter","HH-60",2000,26169,3637456,2358862
"Helicopter","HH-60",2001,26772,3868225,3843754
"Helicopter","HH-60",2002,26493,3241222,3183783
"Helicopter","HH-60",2003,25043,3172102,2646789
"Helicopter","HH-60",2004,27083,3580131,3292361
