Base,System,MD
ALTUS AFB (OK),AIRCRAFT,A-10
ALTUS AFB (OK),AIRCRAFT,AT-38
ALTUS AFB (OK),AIRCRAFT,C-130
ALTUS AFB (OK),AIRCRAFT,C-135
ALTUS AFB (OK),AIRCRAFT,C-141
ALTUS AFB (OK),AIRCRAFT,C-17
ALTUS AFB (OK),AIRCRAFT,C-5
ALTUS AFB (OK),AIRCRAFT,E-3
ALTUS AFB (OK),AIRCRAFT,EC-130
ALTUS AFB (OK),AIRCRAFT,F-15
ALTUS AFB (OK),AIRCRAFT,F-16
ALTUS AFB (OK),AIRCRAFT,GC-141
ALTUS AFB (OK),AIRCRAFT,HC-130
ALTUS AFB (OK),AIRCRAFT,KC-135
ALTUS AFB (OK),AIRCRAFT,LC-130
ALTUS AFB (OK),AIRCRAFT,MC-130
ALTUS AFB (OK),AIRCRAFT,OC-135
ALTUS AFB (OK),AIRCRAFT,T-1
ALTUS AFB (OK),AIRCRAFT,T-37
ALTUS AFB (OK),AIRCRAFT,T-38
ALTUS AFB (OK),AIRCRAFT,T-6
ALTUS AFB (OK),AIRCRAFT,WC-130
ALTUS AFB (OK),OTHER,AIRCOM
ALTUS AFB (OK),OTHER,ATCALS
ALTUS AFB (OK),OTHER,CBRNE DEFENSE
ALTUS AFB (OK),OTHER,COUNTER-WMD PROG
ALTUS AFB (OK),OTHER,CTR DRUG OPS
ALTUS AFB (OK),OTHER,CYBER NETWORK
ALTUS AFB (OK),OTHER,DEPLOYABLE C3
ALTUS AFB (OK),OTHER,LONG- HAUL COMM
ALTUS AFB (OK),OTHER,RESERVE SPT
ALTUS AFB (OK),OTHER,SVC WIDE SPT
ALTUS AFB (OK),OTHER,WEATHER SERVICE
ALTUS AFB (OK),OTHER,WRM EQPT
ANDREWS AFB (MD),AIRCRAFT,A-10
ANDREWS AFB (MD),AIRCRAFT,AC-130
ANDREWS AFB (MD),AIRCRAFT,AT-38
ANDREWS AFB (MD),AIRCRAFT,B-1
ANDREWS AFB (MD),AIRCRAFT,B-2
ANDREWS AFB (MD),AIRCRAFT,B-52
ANDREWS AFB (MD),AIRCRAFT,C-12
ANDREWS AFB (MD),AIRCRAFT,C-130
ANDREWS AFB (MD),AIRCRAFT,C-135
ANDREWS AFB (MD),AIRCRAFT,C-137
ANDREWS AFB (MD),AIRCRAFT,C-141
ANDREWS AFB (MD),AIRCRAFT,C-17
ANDREWS AFB (MD),AIRCRAFT,C-20
ANDREWS AFB (MD),AIRCRAFT,C-21
ANDREWS AFB (MD),AIRCRAFT,C-22
ANDREWS AFB (MD),AIRCRAFT,C-26
ANDREWS AFB (MD),AIRCRAFT,C-27
ANDREWS AFB (MD),AIRCRAFT,C-32
ANDREWS AFB (MD),AIRCRAFT,C-37
ANDREWS AFB (MD),AIRCRAFT,C-38
ANDREWS AFB (MD),AIRCRAFT,C-40
ANDREWS AFB (MD),AIRCRAFT,C-5
ANDREWS AFB (MD),AIRCRAFT,C-9
ANDREWS AFB (MD),AIRCRAFT,CT-43
ANDREWS AFB (MD),AIRCRAFT,CV-22
ANDREWS AFB (MD),AIRCRAFT,E-3
ANDREWS AFB (MD),AIRCRAFT,E-4
ANDREWS AFB (MD),AIRCRAFT,E-8
ANDREWS AFB (MD),AIRCRAFT,EC-130
ANDREWS AFB (MD),AIRCRAFT,EC-135
ANDREWS AFB (MD),AIRCRAFT,EC-18
ANDREWS AFB (MD),AIRCRAFT,F-117
ANDREWS AFB (MD),AIRCRAFT,F-15
ANDREWS AFB (MD),AIRCRAFT,F-16
ANDREWS AFB (MD),AIRCRAFT,F-22
ANDREWS AFB (MD),AIRCRAFT,F-4
ANDREWS AFB (MD),AIRCRAFT,HC-130
ANDREWS AFB (MD),AIRCRAFT,HH-60
ANDREWS AFB (MD),AIRCRAFT,KC-10
ANDREWS AFB (MD),AIRCRAFT,KC-135
ANDREWS AFB (MD),AIRCRAFT,LC-130
ANDREWS AFB (MD),AIRCRAFT,MC-130
ANDREWS AFB (MD),AIRCRAFT,MH-53
ANDREWS AFB (MD),AIRCRAFT,MH-60
ANDREWS AFB (MD),AIRCRAFT,MQ-1
ANDREWS AFB (MD),AIRCRAFT,MQ-9
ANDREWS AFB (MD),AIRCRAFT,NC-130
ANDREWS AFB (MD),AIRCRAFT,NKC-135
ANDREWS AFB (MD),AIRCRAFT,NT-39
ANDREWS AFB (MD),AIRCRAFT,OC-135
ANDREWS AFB (MD),AIRCRAFT,QF-4
ANDREWS AFB (MD),AIRCRAFT,RC-135
ANDREWS AFB (MD),AIRCRAFT,RC-26
ANDREWS AFB (MD),AIRCRAFT,T-1
ANDREWS AFB (MD),AIRCRAFT,T-3
ANDREWS AFB (MD),AIRCRAFT,T-37
ANDREWS AFB (MD),AIRCRAFT,T-38
ANDREWS AFB (MD),AIRCRAFT,T-39
ANDREWS AFB (MD),AIRCRAFT,T-41
ANDREWS AFB (MD),AIRCRAFT,T-43
ANDREWS AFB (MD),AIRCRAFT,T-6
ANDREWS AFB (MD),AIRCRAFT,TC-135
ANDREWS AFB (MD),AIRCRAFT,TE-8
ANDREWS AFB (MD),AIRCRAFT,TG-11
ANDREWS AFB (MD),AIRCRAFT,TG-3
ANDREWS AFB (MD),AIRCRAFT,TG-4
ANDREWS AFB (MD),AIRCRAFT,TG-7
ANDREWS AFB (MD),AIRCRAFT,TG-9
ANDREWS AFB (MD),AIRCRAFT,TH-53
ANDREWS AFB (MD),AIRCRAFT,TU-2
ANDREWS AFB (MD),AIRCRAFT,U-2
ANDREWS AFB (MD),AIRCRAFT,UC-26
ANDREWS AFB (MD),AIRCRAFT,UC-35
ANDREWS AFB (MD),AIRCRAFT,UH-1
ANDREWS AFB (MD),AIRCRAFT,UV-18
ANDREWS AFB (MD),AIRCRAFT,WC-130
ANDREWS AFB (MD),AIRCRAFT,WC-135
ANDREWS AFB (MD),AIRCRAFT,YF-117
ANDREWS AFB (MD),MISSILES,LGM-30
ANDREWS AFB (MD),OTHER,AFDCGS
ANDREWS AFB (MD),OTHER,AIR TRAFFIC CONTROL
ANDREWS AFB (MD),OTHER,AIRCOM
ANDREWS AFB (MD),OTHER,ATCALS
ANDREWS AFB (MD),OTHER,C4I SYSTEM
ANDREWS AFB (MD),OTHER,CBRNE DEFENSE
ANDREWS AFB (MD),OTHER,COMMAND CENTER
ANDREWS AFB (MD),OTHER,COUNTER-WMD PROG
