Base,MD,FY,Manpower_Ops,Manpower_Mx,Manpower_Support_Staff,Operating_Material,Mx_Consumables,Mx_DLR,Mx_Depot_AC,Mx_Depot_Missile,Mx_Depot_Engine,CLS,Total_O.S,Avg_Inv,TAI,End_Strength,FH
ALTUS AFB (OK),A-10,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,73,NA
ALTUS AFB (OK),A-10,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,21,NA
ALTUS AFB (OK),AT-38,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
ALTUS AFB (OK),AT-38,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
ALTUS AFB (OK),C-130,1998,NA,NA,NA,NA,NA,NA,NA,NA,158852,NA,158852,NA,NA,NA,NA
ALTUS AFB (OK),C-130,1999,NA,NA,NA,NA,NA,NA,NA,NA,110326,NA,110326,NA,NA,NA,NA
ALTUS AFB (OK),C-130,2000,NA,NA,NA,NA,NA,NA,NA,NA,166360,NA,166360,NA,NA,NA,NA
ALTUS AFB (OK),C-130,2002,NA,NA,NA,NA,NA,NA,NA,NA,737,NA,737,NA,NA,12,NA
ALTUS AFB (OK),C-130,2003,NA,NA,NA,NA,NA,NA,NA,NA,480,NA,480,NA,NA,NA,NA
ALTUS AFB (OK),C-130,2004,NA,19912,NA,NA,NA,NA,NA,NA,3202,NA,23114,NA,NA,1,NA
ALTUS AFB (OK),C-130,2005,NA,NA,NA,NA,NA,NA,NA,NA,18459,NA,18459,NA,NA,NA,NA
ALTUS AFB (OK),C-130,2006,NA,NA,NA,NA,NA,NA,NA,NA,29456,NA,29456,NA,NA,NA,NA
ALTUS AFB (OK),C-135,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332,NA,NA,NA,NA
ALTUS AFB (OK),C-135,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,NA,NA,NA,NA
ALTUS AFB (OK),C-141,1996,2336113,19801569,2408943,72505034,7433237,21621755,47527,NA,NA,NA,127772282,14,14,618,9093
ALTUS AFB (OK),C-141,1997,2017255,17502317,1964385,48414551,6530480,19435720,2364,NA,NA,NA,97560571,14,14,448,6230
ALTUS AFB (OK),C-141,1998,1715252,17367041,1615991,49878645,7314878,21843584,14342,NA,NA,NA,101779554,13,14,412,6473
ALTUS AFB (OK),C-141,1999,1513380,16730204,1562751,43311714,4807570,16511425,48574,NA,NA,NA,86576751,12,12,386,5401
ALTUS AFB (OK),C-141,2000,1621977,16846300,1476506,42240403,4619311,10725495,24236,NA,NA,NA,79492907,11,11,374,4919
ALTUS AFB (OK),C-141,2001,1299186,12715698,975906,18789148,1603659,5280151,NA,NA,NA,NA,42164661,8,6,272,2099
ALTUS AFB (OK),C-141,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,2,NA
ALTUS AFB (OK),C-17,1996,129784,1029315,133830,6333203,NA,-790,NA,NA,NA,NA,7715236,1,1,34,598
ALTUS AFB (OK),C-17,1997,770225,1949627,750038,35183648,NA,874,NA,NA,NA,NA,39274611,5,5,171,3406
ALTUS AFB (OK),C-17,1998,1029151,1941299,969594,53457945,NA,154898,NA,NA,NA,606279,59318888,8,8,247,5208
ALTUS AFB (OK),C-17,1999,957444,1767279,988679,72528121,NA,66054,NA,NA,NA,NA,77574826,8,8,244,7070
ALTUS AFB (OK),C-17,2000,1261538,2062617,1148393,74609420,NA,1602,NA,NA,NA,NA,80537345,9,8,291,6818
ALTUS AFB (OK),C-17,2001,1339786,1853689,1006403,77730174,NA,2545,NA,NA,NA,NA,83400703,8,8,280,7394
ALTUS AFB (OK),C-17,2002,2194739,1131649,1436401,82868458,NA,104,NA,NA,NA,NA,89754140,10,9,342,8313
ALTUS AFB (OK),C-17,2003,2082394,75686,1610303,97348647,NA,1130,NA,NA,NA,NA,103801558,10,10,360,9534
